Ref,Identification of 1st rotation RR personnel within 48h of the alert ,% of female and male out of the RRP deployed -  2 weeks ,% of female and male out of the RRP deployed - 1 month ,% of female and male out of the RRP deployed - 2 months,% of female and male out of the RRP deployed - 3 months,% of RRP coming within the region of the disaster - 2 weeks ,% of RRP coming within the region of the disaster - 1 Month ,% of RRP coming within the region of the disaster - 2 months ,% of RRP coming within the region of the disaster - 3 months ,# of RR deployed arriving in country of operation within 4 days from deployment message - 1 Week ,# of RR deployed arriving in country of operation within 4 days from deployment message - 2 Weeks,# of RR deployed arriving in country of operation within 4 days from deployment message - 1 month,# of RR deployed arriving in country of operation within 4 days from deployment message - 2 months
,2024-06-22,0.5,0.4,0.4,0.5,0.9,0.9,0.9,0.9,1.0,1.0,3.0,3.0
,2024-07-20,0.7,0.7,0.8,0.8,0.8,0.7,0.8,0.8,0.0,0.0,2.0,5.0
,2024-08-13,0.9,0.9,0.9,0.9,0.6,0.8,0.8,0.9,0.0,0.0,3.0,3.0
,2024-08-30,0.3,0.35,0.4,0.5,0.9,0.9,0.9,0.95,0.0,1.0,2.0,2.0
,2024-09-03,0.85,0.85,0.95,0.95,0.9,0.95,0.95,0.95,1.0,6.0,11.0,11.0
